iter	Passed	Remaining
884	4732	614
885	4737	609
886	4742	604
887	4747	598
888	4752	593
889	4757	587
890	4762	582
891	4767	577
892	4774	572
893	4780	566
894	4786	561
895	4793	556
896	4802	551
897	4808	546
898	4815	540
899	4821	535
900	4827	530
901	4833	525
902	4841	520
903	4849	515
904	4860	510
905	4868	505
906	4875	499
907	4882	494
908	4890	489
909	4903	484
910	4911	479
911	4918	474
912	4924	469
913	4930	463
914	4936	458
915	4943	453
916	4950	448
917	4961	443
918	4967	437
919	4974	432
920	4980	427
921	4986	421
922	4997	416
923	5005	411
924	5013	406
925	5021	401
926	5026	395
927	5031	390
928	5036	384
929	5042	379
930	5046	374
931	5051	368
932	5054	362
933	5060	357
934	5064	352
935	5069	346
936	5074	341
937	5079	335
938	5085	330
939	5092	325
940	5097	319
941	5102	314
942	5107	308
943	5112	303
944	5116	297
945	5121	292
946	5126	286
947	5131	281
948	5137	276
949	5142	270
950	5147	265
951	5152	259
952	5157	254
953	5162	248
954	5167	243
955	5172	238
956	5178	232
957	5185	227
958	5191	221
959	5197	216
960	5202	211
961	5207	205
962	5211	200
963	5216	194
964	5221	189
965	5226	183
966	5231	178
967	5235	173
968	5240	167
969	5245	162
970	5250	156
971	5254	151
972	5259	145
973	5264	140
974	5269	135
975	5273	129
976	5280	124
977	5286	118
978	5292	113
979	5296	108
980	5302	102
981	5305	97
982	5310	91
983	5314	86
984	5318	80
985	5323	75
986	5328	70
987	5333	64
988	5339	59
989	5344	53
990	5349	48
991	5354	43
992	5359	37
993	5364	32
994	5369	26
995	5375	21
996	5382	16
997	5388	10
998	5393	5
999	5398	0
